,entropy,activation_freq,sparsity,stability,noise_robustness
10,0.11799276861817252,[0.0235 0.0175 0.0097 ... 0.0091 0.0336 0.0263],0.01953125,"[[0.338  0.0135 0.06   0.0635 0.0545 0.087  0.027  0.021  0.056  0.031 ]
 [0.0135 0.278  0.039  0.0685 0.0165 0.021  0.0235 0.0165 0.097  0.0395]
 [0.06   0.039  0.247  0.0915 0.053  0.048  0.091  0.032  0.07   0.0245]
 [0.0635 0.0685 0.0915 0.252  0.0535 0.0845 0.041  0.0495 0.103  0.04  ]
 [0.0545 0.0165 0.053  0.0535 0.308  0.09   0.053  0.0505 0.0955 0.1125]
 [0.087  0.021  0.048  0.0845 0.09   0.226  0.018  0.0335 0.1165 0.0685]
 [0.027  0.0235 0.091  0.041  0.053  0.018  0.248  0.016  0.0305 0.013 ]
 [0.021  0.0165 0.032  0.0495 0.0505 0.0335 0.016  0.268  0.0455 0.0535]
 [0.056  0.097  0.07   0.103  0.0955 0.1165 0.0305 0.0455 0.275  0.082 ]
 [0.031  0.0395 0.0245 0.04   0.1125 0.0685 0.013  0.0535 0.082  0.227 ]]",0.046290504737703485
11,0.11803410833877342,[0.0238 0.0176 0.0097 ... 0.0087 0.0332 0.0265],0.01953125,"[[0.358  0.0135 0.0605 0.063  0.048  0.086  0.0245 0.0205 0.052  0.028 ]
 [0.0135 0.278  0.0385 0.064  0.017  0.0195 0.022  0.0135 0.094  0.0435]
 [0.0605 0.0385 0.256  0.091  0.0545 0.05   0.0845 0.0305 0.07   0.022 ]
 [0.063  0.064  0.091  0.247  0.057  0.088  0.0385 0.0485 0.0995 0.04  ]
 [0.048  0.017  0.0545 0.057  0.299  0.083  0.0525 0.0485 0.0895 0.111 ]
 [0.086  0.0195 0.05   0.088  0.083  0.229  0.016  0.034  0.118  0.0665]
 [0.0245 0.022  0.0845 0.0385 0.0525 0.016  0.246  0.0125 0.03   0.0105]
 [0.0205 0.0135 0.0305 0.0485 0.0485 0.034  0.0125 0.273  0.045  0.053 ]
 [0.052  0.094  0.07   0.0995 0.0895 0.118  0.03   0.045  0.273  0.0795]
 [0.028  0.0435 0.022  0.04   0.111  0.0665 0.0105 0.053  0.0795 0.231 ]]",0.045875656208708704
12,0.11804200023269074,[0.0237 0.0184 0.0097 ... 0.0091 0.0338 0.0266],0.01953125,"[[0.34   0.013  0.066  0.0675 0.0545 0.0945 0.0245 0.0205 0.055  0.029 ]
 [0.013  0.266  0.0365 0.057  0.0165 0.018  0.023  0.0155 0.095  0.044 ]
 [0.066  0.0365 0.263  0.0865 0.056  0.05   0.083  0.0305 0.071  0.0215]
 [0.0675 0.057  0.0865 0.236  0.0555 0.09   0.036  0.0455 0.0955 0.04  ]
 [0.0545 0.0165 0.056  0.0555 0.303  0.088  0.051  0.0445 0.091  0.1115]
 [0.0945 0.018  0.05   0.09   0.088  0.233  0.0185 0.034  0.115  0.0675]
 [0.0245 0.023  0.083  0.036  0.051  0.0185 0.246  0.013  0.0285 0.0115]
 [0.0205 0.0155 0.0305 0.0455 0.0445 0.034  0.013  0.267  0.042  0.0525]
 [0.055  0.095  0.071  0.0955 0.091  0.115  0.0285 0.042  0.278  0.084 ]
 [0.029  0.044  0.0215 0.04   0.1115 0.0675 0.0115 0.0525 0.084  0.239 ]]",0.045815274601433954
13,0.11804768798715101,[0.0237 0.0179 0.01   ... 0.0094 0.0332 0.0267],0.01953125,"[[0.353  0.015  0.0625 0.064  0.0505 0.088  0.024  0.019  0.054  0.029 ]
 [0.015  0.272  0.034  0.0625 0.0165 0.02   0.021  0.0165 0.091  0.0445]
 [0.0625 0.034  0.256  0.0865 0.05   0.0455 0.081  0.0345 0.0695 0.0225]
 [0.064  0.0625 0.0865 0.237  0.0545 0.087  0.036  0.048  0.0945 0.0425]
 [0.0505 0.0165 0.05   0.0545 0.309  0.088  0.052  0.0475 0.09   0.109 ]
 [0.088  0.02   0.0455 0.087  0.088  0.231  0.0175 0.0345 0.114  0.065 ]
 [0.024  0.021  0.081  0.036  0.052  0.0175 0.25   0.0155 0.03   0.0135]
 [0.019  0.0165 0.0345 0.048  0.0475 0.0345 0.0155 0.275  0.0425 0.054 ]
 [0.054  0.091  0.0695 0.0945 0.09   0.114  0.03   0.0425 0.275  0.0775]
 [0.029  0.0445 0.0225 0.0425 0.109  0.065  0.0135 0.054  0.0775 0.238 ]]",0.04683585580988216
14,0.11807407906214987,[0.0238 0.0176 0.01   ... 0.0091 0.033  0.0272],0.01953125,"[[0.347  0.011  0.058  0.0655 0.0455 0.086  0.026  0.0215 0.0485 0.028 ]
 [0.011  0.274  0.037  0.0585 0.0125 0.018  0.021  0.0145 0.093  0.0415]
 [0.058  0.037  0.246  0.0905 0.0505 0.051  0.082  0.031  0.0755 0.0215]
 [0.0655 0.0585 0.0905 0.239  0.0515 0.0855 0.04   0.0475 0.0935 0.037 ]
 [0.0455 0.0125 0.0505 0.0515 0.312  0.085  0.058  0.055  0.091  0.1095]
 [0.086  0.018  0.051  0.0855 0.085  0.234  0.016  0.0335 0.1155 0.063 ]
 [0.026  0.021  0.082  0.04   0.058  0.016  0.245  0.015  0.0325 0.016 ]
 [0.0215 0.0145 0.031  0.0475 0.055  0.0335 0.015  0.269  0.0435 0.054 ]
 [0.0485 0.093  0.0755 0.0935 0.091  0.1155 0.0325 0.0435 0.278  0.075 ]
 [0.028  0.0415 0.0215 0.037  0.1095 0.063  0.016  0.054  0.075  0.236 ]]",0.045852254067027975
15,0.11810661104901019,[0.0232 0.0177 0.0096 ... 0.0089 0.0329 0.0267],0.01953125,"[[0.348  0.012  0.0605 0.061  0.0525 0.085  0.0265 0.0235 0.0505 0.0285]
 [0.012  0.279  0.0375 0.0615 0.0165 0.02   0.0235 0.0175 0.0985 0.043 ]
 [0.0605 0.0375 0.244  0.0845 0.0495 0.047  0.0815 0.0285 0.0685 0.0185]
 [0.061  0.0615 0.0845 0.24   0.053  0.087  0.0395 0.046  0.0935 0.0365]
 [0.0525 0.0165 0.0495 0.053  0.309  0.092  0.052  0.0535 0.087  0.111 ]
 [0.085  0.02   0.047  0.087  0.092  0.227  0.0185 0.035  0.1165 0.0665]
 [0.0265 0.0235 0.0815 0.0395 0.052  0.0185 0.244  0.0145 0.0345 0.0135]
 [0.0235 0.0175 0.0285 0.046  0.0535 0.035  0.0145 0.263  0.044  0.054 ]
 [0.0505 0.0985 0.0685 0.0935 0.087  0.1165 0.0345 0.044  0.282  0.0715]
 [0.0285 0.043  0.0185 0.0365 0.111  0.0665 0.0135 0.054  0.0715 0.23  ]]",0.04610850914503102
16,0.11811632842772977,[0.0235 0.0175 0.0095 ... 0.0087 0.0334 0.027 ],0.01953125,"[[0.346  0.014  0.06   0.065  0.054  0.0845 0.032  0.0245 0.054  0.033 ]
 [0.014  0.275  0.034  0.0605 0.0185 0.021  0.0245 0.02   0.098  0.0455]
 [0.06   0.034  0.236  0.0795 0.0485 0.0435 0.085  0.029  0.065  0.0205]
 [0.065  0.0605 0.0795 0.238  0.0505 0.085  0.041  0.0475 0.0945 0.0345]
 [0.054  0.0185 0.0485 0.0505 0.314  0.0875 0.0515 0.053  0.085  0.11  ]
 [0.0845 0.021  0.0435 0.085  0.0875 0.227  0.019  0.035  0.117  0.0655]
 [0.032  0.0245 0.085  0.041  0.0515 0.019  0.244  0.014  0.0335 0.0135]
 [0.0245 0.02   0.029  0.0475 0.053  0.035  0.014  0.263  0.0475 0.05  ]
 [0.054  0.098  0.065  0.0945 0.085  0.117  0.0335 0.0475 0.28   0.0745]
 [0.033  0.0455 0.0205 0.0345 0.11   0.0655 0.0135 0.05   0.0745 0.232 ]]",0.04626205723332636
17,0.11814622499001695,[0.0233 0.0177 0.0097 ... 0.0088 0.0337 0.027 ],0.01953125,"[[0.355  0.015  0.0625 0.068  0.0515 0.088  0.0275 0.0215 0.0545 0.03  ]
 [0.015  0.271  0.0355 0.059  0.016  0.022  0.026  0.015  0.1    0.0405]
 [0.0625 0.0355 0.235  0.084  0.05   0.0485 0.081  0.026  0.067  0.019 ]
 [0.068  0.059  0.084  0.238  0.0585 0.091  0.039  0.0495 0.098  0.035 ]
 [0.0515 0.016  0.05   0.0585 0.312  0.0875 0.0545 0.0525 0.091  0.1095]
 [0.088  0.022  0.0485 0.091  0.0875 0.229  0.0185 0.0335 0.116  0.0655]
 [0.0275 0.026  0.081  0.039  0.0545 0.0185 0.249  0.0145 0.0305 0.0145]
 [0.0215 0.015  0.026  0.0495 0.0525 0.0335 0.0145 0.265  0.044  0.051 ]
 [0.0545 0.1    0.067  0.098  0.091  0.116  0.0305 0.044  0.275  0.0765]
 [0.03   0.0405 0.019  0.035  0.1095 0.0655 0.0145 0.051  0.0765 0.234 ]]",0.046467052597343114
18,0.11815987898788585,[0.023  0.0176 0.01   ... 0.0088 0.0336 0.0267],0.01953125,"[[0.356  0.015  0.06   0.0665 0.0505 0.0845 0.0275 0.022  0.0555 0.03  ]
 [0.015  0.272  0.0365 0.0595 0.018  0.0225 0.0275 0.017  0.0975 0.0405]
 [0.06   0.0365 0.246  0.0865 0.0515 0.0475 0.0845 0.03   0.0675 0.0175]
 [0.0665 0.0595 0.0865 0.239  0.059  0.091  0.037  0.0485 0.1    0.0365]
 [0.0505 0.018  0.0515 0.059  0.311  0.086  0.052  0.053  0.091  0.1095]
 [0.0845 0.0225 0.0475 0.091  0.086  0.23   0.02   0.0335 0.1195 0.0685]
 [0.0275 0.0275 0.0845 0.037  0.052  0.02   0.248  0.0145 0.0325 0.013 ]
 [0.022  0.017  0.03   0.0485 0.053  0.0335 0.0145 0.263  0.045  0.051 ]
 [0.0555 0.0975 0.0675 0.1    0.091  0.1195 0.0325 0.045  0.278  0.08  ]
 [0.03   0.0405 0.0175 0.0365 0.1095 0.0685 0.013  0.051  0.08   0.235 ]]",0.04596769523145328
19,0.11816431373045132,[0.0234 0.0183 0.01   ... 0.0091 0.0328 0.0264],0.01953125,"[[0.351  0.013  0.0605 0.062  0.049  0.0825 0.0265 0.021  0.054  0.026 ]
 [0.013  0.273  0.033  0.062  0.018  0.021  0.0245 0.016  0.0975 0.0415]
 [0.0605 0.033  0.257  0.092  0.052  0.05   0.0855 0.029  0.0705 0.0175]
 [0.062  0.062  0.092  0.236  0.0615 0.0885 0.036  0.0485 0.0995 0.0375]
 [0.049  0.018  0.052  0.0615 0.314  0.0895 0.0475 0.053  0.088  0.112 ]
 [0.0825 0.021  0.05   0.0885 0.0895 0.221  0.0185 0.0335 0.1135 0.0645]
 [0.0265 0.0245 0.0855 0.036  0.0475 0.0185 0.246  0.012  0.0295 0.0115]
 [0.021  0.016  0.029  0.0485 0.053  0.0335 0.012  0.263  0.0445 0.055 ]
 [0.054  0.0975 0.0705 0.0995 0.088  0.1135 0.0295 0.0445 0.276  0.0785]
 [0.026  0.0415 0.0175 0.0375 0.112  0.0645 0.0115 0.055  0.0785 0.236 ]]",0.046753840401590724
20,0.11819435303152964,[0.0234 0.0175 0.01   ... 0.0086 0.0334 0.0264],0.01953125,"[[0.34   0.014  0.06   0.0635 0.052  0.0875 0.0275 0.022  0.059  0.03  ]
 [0.014  0.285  0.034  0.066  0.0185 0.0215 0.0235 0.0155 0.1025 0.0435]
 [0.06   0.034  0.259  0.0935 0.0525 0.0495 0.089  0.0295 0.072  0.018 ]
 [0.0635 0.066  0.0935 0.236  0.0605 0.0875 0.042  0.0475 0.0995 0.0385]
 [0.052  0.0185 0.0525 0.0605 0.309  0.087  0.048  0.054  0.0925 0.111 ]
 [0.0875 0.0215 0.0495 0.0875 0.087  0.227  0.0175 0.0345 0.117  0.0655]
 [0.0275 0.0235 0.089  0.042  0.048  0.0175 0.244  0.015  0.0315 0.013 ]
 [0.022  0.0155 0.0295 0.0475 0.054  0.0345 0.015  0.263  0.0425 0.0555]
 [0.059  0.1025 0.072  0.0995 0.0925 0.117  0.0315 0.0425 0.281  0.0795]
 [0.03   0.0435 0.018  0.0385 0.111  0.0655 0.013  0.0555 0.0795 0.238 ]]",0.04625478067553991
