,acc,sparsity,noise_stddev
0,0.9237780570983887,0.0,0.0
1,0.4863782227039337,0.0,0.2
2,0.23747996985912323,0.0,0.4
3,0.1968149095773697,0.0,0.6
4,0.9680488705635071,0.2,0.0
5,0.7524038553237915,0.2,0.2
6,0.33784055709838867,0.2,0.4
7,0.20612980425357819,0.2,0.6
8,0.9727564454078674,0.4,0.0
9,0.8205128312110901,0.4,0.2
10,0.44971954822540283,0.4,0.4
11,0.28675881028175354,0.4,0.6
12,0.9754607677459717,0.6,0.0
13,0.8520632982254028,0.6,0.2
14,0.5292468070983887,0.6,0.4
15,0.34975960850715637,0.6,0.6
